,0,1,2,3,4,5,Coach,URL,TM,Season
1089,48,us US,"Jan 15, 1956",Pitching,Apr 5,Oct 3,Don Cooper,/players/c/coopedo01.shtml,CHW,2004
1090,58,us US,"Dec 19, 1945",Bullpen,Apr 5,Oct 3,Art Kusnyer,/players/k/kusnyar01.shtml,CHW,2004
1091,39,pr PR,"May 14, 1965",Third base,Apr 5,Oct 3,Joey Cora,/players/c/corajo01.shtml,CHW,2004
1092,46,do DO,"Jan 31, 1958",,Apr 5,Oct 3,Rafael Santana,/players/s/santara01.shtml,CHW,2004
1093,49,us US,"Dec 23, 1953",Manager,Mar 31,Sep 28,Jerry Manuel,/managers/manueje01.shtml,CHW,2003
1094,49,us US,"Dec 6, 1953",Hitting,Mar 31,May 18,Gary Ward,/players/w/wardga01.shtml,CHW,2003
1095,43,us US,"Oct 6, 1959",Hitting,May 19,Sep 28,Greg Walker,/players/w/walkegr01.shtml,CHW,2003
1096,47,us US,"Jan 15, 1956",Pitching,Mar 31,Sep 28,Don Cooper,/players/c/coopedo01.shtml,CHW,2003
1097,57,us US,"Dec 19, 1945",Bullpen,Mar 31,Sep 28,Art Kusnyer,/players/k/kusnyar01.shtml,CHW,2003
1098,45,do DO,"Jan 31, 1958",,Mar 31,Sep 28,Rafael Santana,/players/s/santara01.shtml,CHW,2003
1099,52,us US,"Jun 29, 1951",Coach,Mar 31,Sep 28,Bruce Kimm,/players/k/kimmbr01.shtml,CHW,2003
1100,62,us US,"Nov 8, 1940",Coach,Mar 31,Sep 28,Joe Nossek,/players/n/nossejo01.shtml,CHW,2003
1101,48,us US,"Dec 23, 1953",Manager,Apr 1,Sep 29,Jerry Manuel,/managers/manueje01.shtml,CHW,2002
1102,48,us US,"Dec 6, 1953",Hitting,Apr 1,Sep 29,Gary Ward,/players/w/wardga01.shtml,CHW,2002
1103,46,us US,"Jan 15, 1956",Pitching,Jul 22,Sep 29,Don Cooper,/players/c/coopedo01.shtml,CHW,2002
1104,56,us US,"Dec 19, 1945",Bullpen,Apr 1,Sep 29,Art Kusnyer,/players/k/kusnyar01.shtml,CHW,2002
1105,44,us US,"Apr 3, 1958",First base,Apr 1,Sep 29,Gary Pettis,/players/p/pettiga01.shtml,CHW,2002
1106,45,us US,"Dec 25, 1956",,Apr 1,Sep 29,Wallace Johnson,/players/j/johnswa03.shtml,CHW,2002
1107,50,us US,"Sep 19, 1951",Coach,Apr 1,Sep 29,Nardi Contreras,/players/c/contrna01.shtml,CHW,2002
1108,61,us US,"Nov 8, 1940",Coach,Apr 1,Sep 29,Joe Nossek,/players/n/nossejo01.shtml,CHW,2002
1109,47,us US,"Dec 23, 1953",Manager,Apr 2,Oct 7,Jerry Manuel,/managers/manueje01.shtml,CHW,2001
1110,47,us US,"Dec 6, 1953",Hitting,Apr 2,Oct 7,Gary Ward,/players/w/wardga01.shtml,CHW,2001
1111,55,us US,"Dec 19, 1945",Bullpen,Apr 2,Oct 7,Art Kusnyer,/players/k/kusnyar01.shtml,CHW,2001
1112,43,us US,"Apr 3, 1958",First base,Apr 2,Oct 7,Gary Pettis,/players/p/pettiga01.shtml,CHW,2001
1113,44,us US,"Dec 25, 1956",,Apr 2,Oct 7,Wallace Johnson,/players/j/johnswa03.shtml,CHW,2001
1114,49,us US,"Sep 19, 1951",Coach,Apr 2,Oct 7,Nardi Contreras,/players/c/contrna01.shtml,CHW,2001
1115,53,us US,"May 1, 1948",Coach,Apr 2,Oct 7,Von Joshua,/players/j/joshuvo01.shtml,CHW,2001
1116,60,us US,"Nov 8, 1940",Coach,Apr 2,Oct 7,Joe Nossek,/players/n/nossejo01.shtml,CHW,2001
1117,46,us US,"Dec 23, 1953",Manager,Apr 3,Oct 1,Jerry Manuel,/managers/manueje01.shtml,CHW,2000
1118,54,us US,"Dec 19, 1945",Bullpen,Apr 3,Oct 1,Art Kusnyer,/players/k/kusnyar01.shtml,CHW,2000
1119,43,us US,"Dec 25, 1956",,Apr 3,Oct 1,Wallace Johnson,/players/j/johnswa03.shtml,CHW,2000
1120,48,us US,"Sep 19, 1951",Coach,Apr 3,Oct 1,Nardi Contreras,/players/c/contrna01.shtml,CHW,2000
1121,52,us US,"May 1, 1948",Coach,Apr 3,Oct 1,Von Joshua,/players/j/joshuvo01.shtml,CHW,2000
1122,40,us US,"Oct 8, 1959",Coach,Apr 3,Oct 1,Bryan Little,/players/l/littlbr01.shtml,CHW,2000
1123,59,us US,"Nov 8, 1940",Coach,Apr 3,Oct 1,Joe Nossek,/players/n/nossejo01.shtml,CHW,2000
1124,45,us US,"Dec 23, 1953",Manager,Apr 5,Oct 3,Jerry Manuel,/managers/manueje01.shtml,CHW,1999
1125,53,us US,"Dec 19, 1945",Bullpen,Apr 5,Oct 3,Art Kusnyer,/players/k/kusnyar01.shtml,CHW,1999
1126,42,us US,"Dec 25, 1956",,Apr 5,Oct 3,Wallace Johnson,/players/j/johnswa03.shtml,CHW,1999
1127,47,us US,"Sep 19, 1951",Coach,Apr 5,Oct 3,Nardi Contreras,/players/c/contrna01.shtml,CHW,1999
1128,51,us US,"May 1, 1948",Coach,Apr 5,Oct 3,Von Joshua,/players/j/joshuvo01.shtml,CHW,1999
1129,39,us US,"Oct 8, 1959",Coach,Apr 5,Oct 3,Bryan Little,/players/l/littlbr01.shtml,CHW,1999
